통계표,계정항목,단위,가중치,변환,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12
"4.2.1. 소비자물가지수","        외래진료비","2020=100","20.5","원자료","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","100","100","100","100","100","100","100","100","100","100","100","100","101.83","101.83","101.83","101.83","101.83","101.83","101.83","101.83","101.83","101.83","101.83","101.83","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22"
"4.2.1. 소비자물가지수","        건강검진비","2020=100","1.2","원자료","99.233","99.224","99.358","99.445","99.445","99.349","99.349","99.349","99.349","99.32","99.32","99.32","99.54","99.6","99.7","99.85","99.89","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.15","100.15","100.57","100.76","100.88","100.88","100.88","100.94","101.06","101.06","101.06","101.13","101.38","101.55","101.73","101.65","101.94","102.06","102.28","102.23","102.23","102.23","102.45","102.49","102.93","102.95","103.35","103.66","104.07","104.07","104.19","104.19","104.19","104.15","104.25","104.33","104.3","104.47","104.94","105.4","105.4","105.54","105.92","105.92","105.92","105.92","105.92","105.92"
"4.2.1. 소비자물가지수","        한방진료비","2020=100","1","원자료","102.687","102.687","102.687","97.442","97.442","97.442","97.129","97.129","97.129","97.129","97.129","97.129","100","100","100","100","100","100","100","100","100","100","100","100","102.86","102.86","102.86","102.86","102.86","102.86","102.86","102.86","102.86","102.86","102.86","102.86","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18"
"4.2.1. 소비자물가지수","        약국조제료","2020=100","1.8","원자료","96.595","96.595","96.595","96.595","96.595","96.595","96.595","96.595","96.595","96.595","96.595","96.595","100","100","100","100","100","100","100","100","100","100","100","100","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","112.84","112.84","112.85","112.85","112.85","112.85","112.85","112.85","112.85","112.85","112.85","112.85"
"4.2.1. 소비자물가지수","      기타의료서비스","2020=100","12.9","원자료","98.479","98.499","98.271","98.142","98.132","98.082","98.092","98.102","98.122","98.162","98.142","98.142","99.85","99.9","99.83","99.86","99.91","99.92","100.02","100.11","100.24","100.27","100.03","100.04","100.81","100.8","100.86","100.88","100.9","100.92","100.91","100.99","101","101.01","100.97","100.99","102.22","102.27","102.27","102.38","102.46","102.54","102.59","102.59","102.51","102.55","102.55","102.5","103.69","103.71","103.73","103.83","103.88","103.83","103.86","103.89","103.91","103.91","103.93","103.79","105.28","105.28","105.31","105.34","105.29","105.44","105.44","105.52","105.54","105.72","105.81","105.87"
"4.2.1. 소비자물가지수","        치과진료비","2020=100","6.1","원자료","97.485","97.485","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","100.07","100.07","100.07","100.07","100.07","100.07","100.07","100.07","100.07","100.07","99.63","99.63","101.11","101.11","101.11","101.11","101.11","101.11","101.11","101.11","101.11","101.11","101.11","101.11","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43"
"4.2.1. 소비자물가지수","        치과보철료","2020=100","6.8","원자료","99.399","99.43","99.357","99.108","99.098","98.983","99.004","99.025","99.066","99.139","99.108","99.108","99.61","99.73","99.57","99.63","99.75","99.77","99.97","100.16","100.42","100.48","100.45","100.47","100.49","100.47","100.6","100.64","100.67","100.72","100.7","100.86","100.88","100.91","100.83","100.87","101.02","101.12","101.12","101.33","101.48","101.63","101.71","101.72","101.59","101.64","101.65","101.56","101.48","101.52","101.56","101.73","101.82","101.74","101.79","101.85","101.89","101.89","101.92","101.66","101.45","101.46","101.52","101.57","101.47","101.78","101.78","101.91","101.94","102.29","102.46","102.55"
"4.2.1. 소비자물가지수","    병원 서비스","2020=100","11.3","원자료","100.527","100.177","100.167","100.167","100.137","100.137","99.867","99.867","99.436","99.436","99.196","99.196","101.26","99.58","100","100.05","100.05","100.05","100.06","100.07","99.72","99.72","99.72","99.72","101.16","101.17","101.17","99.48","99.48","99.48","99.49","99.5","97.9","97.9","97.9","97.9","99.92","99.83","97.29","97.31","97.31","97.31","97.31","97.31","97.32","97.32","97.32","97.32","98.95","98.95","98.97","98.97","98.97","98.97","98.98","98.98","98.99","98.99","98.99","99","100.88","100.88","100.9","100.9","100.91","100.91","100.92","100.92","100.93","100.92","100.93","100.93"
"4.2.1. 소비자물가지수","      병원 서비스","2020=100","11.3","원자료","100.527","100.177","100.167","100.167","100.137","100.137","99.867","99.867","99.436","99.436","99.196","99.196","101.26","99.58","100","100.05","100.05","100.05","100.06","100.07","99.72","99.72","99.72","99.72","101.16","101.17","101.17","99.48","99.48","99.48","99.49","99.5","97.9","97.9","97.9","97.9","99.92","99.83","97.29","97.31","97.31","97.31","97.31","97.31","97.32","97.32","97.32","97.32","98.95","98.95","98.97","98.97","98.97","98.97","98.98","98.98","98.99","98.99","98.99","99","100.88","100.88","100.9","100.9","100.91","100.91","100.92","100.92","100.93","100.92","100.93","100.93"
"4.2.1. 소비자물가지수","        입원진료비","2020=100","10.2","원자료","98.542","98.542","98.533","98.533","98.533","98.533","98.214","98.214","98.214","98.214","98.214","98.214","100","100","100","100","100","100","100","100","100","100","100","100","101.48","101.48","101.48","101.48","101.48","101.48","101.48","101.48","101.48","101.48","101.48","101.48","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75"
"4.2.1. 소비자물가지수","        병원검사료","2020=100","1.1","원자료","114.966","112.071","112.071","112.058","111.807","111.845","111.883","111.895","108.323","108.335","106.342","106.342","109.9","96.69","100.03","100.4","100.42","100.42","100.45","100.53","97.77","97.78","97.8","97.83","98.97","99.04","99.06","85.75","85.75","85.75","85.8","85.86","73.27","73.23","73.23","73.24","75.37","74.76","58.46","58.57","58.57","58.59","58.61","58.61","58.64","58.65","58.67","58.67","59.43","59.43","59.53","59.61","59.64","59.64","59.67","59.68","59.73","59.73","59.76","59.83","61.03","61.05","61.16","61.18","61.22","61.22","61.27","61.32","61.34","61.29","61.36","61.37"
"4.2.1. 소비자물가지수","  교통","2020=100","110.6","원자료","98.899","98.699","99.289","100.769","103.049","103.299","102.569","102.579","102.979","103.589","103.109","103.569","105.09","105.06","101.88","98.28","96.06","97.63","99.62","99.83","99.4","99.05","98.59","99.51","101.82","102.55","103.97","104.71","104.66","105.53","107.07","107.9","107.59","109.31","111.48","109.41","109.3","111.16","116.96","118.93","119.61","123.38","123.54","117.64","115.72","115.34","115.43","113.15","112.34","111.38","110.87","111.79","111.52","109.74","110.25","114.09","115.28","117.29","114.98","112.89","111.97","113.64","114","115.02","115.74","114.01","116","116.17","113.9","112.56","113.69","114.32"
"4.2.1. 소비자물가지수","    운송장비","2020=100","28.4","원자료","99.434","99.264","99.064","99.464","99.294","98.994","99.274","98.794","98.443","98.503","97.382","98.183","100.2","101.5","98.59","98.58","98.84","98.88","101.02","100.76","100.27","100.76","100.61","99.98","100.72","100.68","101.6","101.55","101.14","101.17","101.44","101.5","101.27","102.44","102.57","103.3","104.03","104.17","104.24","103.86","104.57","105.06","105.41","105.59","105.67","107","107.18","106.23","106.2","105.07","104.99","105.51","105.56","105.06","106.06","106.04","105.53","108.08","107.09","106.47","107.05","109.02","108.85","109.31","109.21","109.15","108.52","108.46","108.75","107.96","109.34","108.24"
"4.2.1. 소비자물가지수","      운송장비","2020=100","28.4","원자료","99.434","99.264","99.064","99.464","99.294","98.994","99.274","98.794","98.443","98.503","97.382","98.183","100.2","101.5","98.59","98.58","98.84","98.88","101.02","100.76","100.27","100.76","100.61","99.98","100.72","100.68","101.6","101.55","101.14","101.17","101.44","101.5","101.27","102.44","102.57","103.3","104.03","104.17","104.24","103.86","104.57","105.06","105.41","105.59","105.67","107","107.18","106.23","106.2","105.07","104.99","105.51","105.56","105.06","106.06","106.04","105.53","108.08","107.09","106.47","107.05","109.02","108.85","109.31","109.21","109.15","108.52","108.46","108.75","107.96","109.34","108.24"
"4.2.1. 소비자물가지수","        소형승용차","2020=100","1","원자료","101.074","100.935","100.876","101.074","100.787","100.925","100.925","100.342","100.045","100.649","99.017","99.897","102.63","102.63","98.24","98.16","97.78","97.78","100.69","100.28","100.28","100.69","100.41","100.41","100.82","100.55","100.55","101.09","100.83","100.83","100.83","100.96","100.96","100.96","100.96","100.96","101.02","101.02","102.23","102.23","102.23","102.23","102.23","102.23","102.37","102.37","102.37","102.37","102.37","102.37","102.99","102.99","103.34","103.34","104.11","104.13","104.13","104.13","104.13","104.13","104.13","104.13","104.13","104.13","104.13","104.13","105","105","105","105","105","105"
"4.2.1. 소비자물가지수","        중형승용차","2020=100","1","원자료","97.491","96.538","94.947","98.789","98.718","99.001","99.873","98.637","98.322","97.785","97.41","97.886","101.83","101.83","97.37","97.37","98.12","98.2","101.29","100.72","101.29","100.59","100.79","100.58","101.37","100.94","99.91","99.42","99.45","99.33","99.36","99.36","99.36","100.16","100.16","100.16","100.12","100.12","100.12","100.12","100.12","100.19","100.19","101.49","101.49","101.49","101.49","101.49","101.49","101.49","101.49","101.87","103.4","103.4","104.16","104.16","104.15","104.15","104.89","104.89","104.97","104.97","104.97","104.97","104.97","104.82","104.6","104.6","104.6","104.6","105.61","105.82"
